Started,Ended,Name of Conflict,Belligerents,Defeated,Part of,War link,Wider conflict link
1994,1994,1994 Zapatista Uprising\n,Mexico\nMexican Armed Forces,EZLN,Chiapas conflict,https://en.wikipedia.org/wiki/Zapatista_uprising,https://en.wikipedia.org/wiki/Chiapas_conflict
1992,2018,Insurgency in Ogaden\n,Ethiopia\nSupported by:\nSomaliland[109][110],ONLF\nSupported by:\nEritrea[111]\nEgypt (alleged by\nEthiopia)[112]\nal-Itihaad al-Islamiya[113]\n(1992–97),conflicts in the\nHorn of Africa,https://en.wikipedia.org/wiki/Insurgency_in_Ogaden,https://en.wikipedia.org/wiki/Conflicts_in_the_Horn_of_Africa
,,nan,nan,nan,,,
1994,1994,1994 Bophuthatswana\ncrisis\n,BDF mutineers,Bophuthatswana\nAfrikaner Volksfront\nAWB\nSouth African Defence\nForce[114][115],internal\nresistance to apartheid\nand the negotiations to\nend apartheid in South\nAfrica,https://en.wikipedia.org/wiki/1994_Bophuthatswana_crisis,https://en.wikipedia.org/wiki/1994_Bophuthatswana_crisis
1994,1997,Iraqi Kurdish Civil War\n,PUK\nPKK[116]\nSCIRI\nKCP\nIraqi National\nCongress\nSupported by:\nIran (from 1995)\nSyria\nUnited States\n(1996),KDP\nSupported by:\nIraq (from 1995)\nTurkey (from 1997)\nIran (before 1995),"Iraqi–\nKurdish conflict,\nKurdistan Region-\nPKK conflict and the\nIraqi no-fly zones\nconflict",https://en.wikipedia.org/wiki/Iraqi_Kurdish_Civil_War,https://en.wikipedia.org/wiki/Iraqi%E2%80%93Kurdish_conflict
1994,1994,Yemeni Civil War (1994),Yemen\nIslamic Jihad in\nYemen[117],Democratic Republic of\nYemen,,https://en.wikipedia.org/wiki/Yemeni_Civil_War_(1994),
1994,1996,First Chechen War\n,Chechen Republic\nof Ichkeria\nChechen\nMujahideen,Russia\nLoyalist,"Chechen–\nRussian\nconflict, the Russo-\nCaucasian conflict,\nthe Wars in the\nCaucasus and post-\nSoviet conflicts",https://en.wikipedia.org/wiki/First_Chechen_War,https://en.wikipedia.org/wiki/Chechen%E2%80%93Russian_conflict
1998,2002,Caprivi conflict,Namibia,Caprivi Liberation Army,,https://en.wikipedia.org/wiki/Caprivi_conflict,
1995,1995,Cenepa War,Peru,Ecuador\nArmament support by:\nArgentina\nChile\nDiplomatic support by:\nUnited States,,https://en.wikipedia.org/wiki/Cenepa_War,
1995,2002,Eelam War III\n,Sri Lanka\nMilitary of Sri Lanka,Liberation Tigers of Tamil\nEelam,Sri Lankan Civil\nWar,https://en.wikipedia.org/wiki/Eelam_War_III,https://en.wikipedia.org/wiki/Sri_Lankan_civil_war
1995,2018,Second Afar\nInsurgency Part of the\nEritrean–Ethiopian\nborder conflict,Ethiopia\nEritrea,ARDUF\nRSADO,,https://en.wikipedia.org/wiki/Second_Afar_insurgency,https://en.wikipedia.org/wiki/Second_Afar_insurgency
1995,1995,1995 Sudanese-Ugandan\nborder conflict,Uganda,Sudan,,https://en.wikipedia.org/wiki/1995_Sudanese-Ugandan_border_conflict?action=edit&redlink=1,https://en.wikipedia.org/wiki/1995_Sudanese-Ugandan_border_conflict?action=edit&redlink=1
1995,1995,Hanish Islands conflict\n,Eritrea,Yemen,conflicts in\nthe Horn of Africa,https://en.wikipedia.org/wiki/Hanish_Islands_conflict,https://en.wikipedia.org/wiki/Conflicts_in_the_Horn_of_Africa
1996,1999,Arab-Masalit conflict,Arab tribes\nSudan,Masalit tribes,,https://en.wikipedia.org/wiki/Arab-Massalit_conflict?action=edit&redlink=1,
1996,2006,Nepalese Civil War,"Communist Party\nof Nepal (Maoist)\nPeople's Liberation\nArmy, Nepal",Kingdom of Nepal\nNepalese Armed Forces\nRoyal Nepali Army\nNepal Police\nArmed Police Force,,https://en.wikipedia.org/wiki/Nepalese_Civil_War,
,,,Supported by:\nCommunist Party\nof India (Maoist)\nCeylon Communist\nParty (Maoist)[118],Supported by:\nIndia[119]\nPakistan (from\n2004)[120][121][122]\nBelgium[123]\nChina[124]\nUnited Kingdom[125]\nFrance[125]\nUnited States[125],,,
1996,2001,Afghan Civil War\n(1996–2001) Part of\nthe Afghan conflict,Afghanistan,Taliban\nAl-Qaeda\nIslamic Uzbek Movement\nPakistan[126][127][128][129][130],,https://en.wikipedia.org/wiki/Afghan_Civil_War_(1996%E2%80%932001),https://en.wikipedia.org/wiki/Afghan_Civil_War_(1996%E2%80%932001)
