Start,Finish,Name of Conflict,Belligerents,,Part of,War link,Wider conflict link
1930,1931,"Uprising of the Nghệ-Tĩnh
Soviets",French colonial empire,Nghệ-Tĩnh Soviets,,https://en.wikipedia.org/wiki/Ngh%E1%BB%87-T%C4%A9nh_Soviets,https://en.wikipedia.org/wiki/Ngh%E1%BB%87-T%C4%A9nh_Soviets
1930,1930,Hnov uprising,Soviet Union,Rebels,,https://en.wikipedia.org/wiki/Hnov_uprising?action=edit&redlink=1,
1930,1930,Gugsa Wale's rebellion,Haile Selassie loyalists,Empress Zewditu supporters,,https://en.wikipedia.org/wiki/Gugsa_Wale's_rebellion,
1930,1930,"Kuhistan rebellion (February–
April 1930)",Kingdom of Afghanistan,Rebels,,https://en.wikipedia.org/wiki/Kuhistan_rebellion_(February%E2%80%93April_1930),https://en.wikipedia.org/wiki/Kuhistan_rebellion_(February%E2%80%93April_1930)
1930,1930,Yên Bái mutiny,French Indochina,VNQDD,,https://en.wikipedia.org/wiki/Y%C3%AAn_B%C3%A1i_mutiny,
1930,1930,Muromtsevsky uprising,Soviet Union,Rebels,,https://en.wikipedia.org/wiki/Muromtsevsky_uprising?action=edit&redlink=1,
1930,1930,Tugsbuyant uprising,"Mongolian People's
Republic","Buddhist clergy, former feudal
lords, Arats",,https://en.wikipedia.org/wiki/Tugsbuyant_uprising?action=edit&redlink=1,
1930,1932,Saya San Rebellion,British Empire,Burmese rebels,,https://en.wikipedia.org/wiki/Saya_San,
1930,1930,Chittagong armoury raid,British Empire,Anushilan Samiti,,https://en.wikipedia.org/wiki/Chittagong_armoury_raid,
1930,1930,"Red Army intervention in
Afghanistan (1930)",Soviet Union,Basmachi,,https://en.wikipedia.org/wiki/Red_Army_intervention_in_Afghanistan_(1930),https://en.wikipedia.org/wiki/Red_Army_intervention_in_Afghanistan_(1930)
1930,1930,Kuhistan rebellion (July 1930),Kingdom of Afghanistan,Saqqawists,,https://en.wikipedia.org/wiki/Kuhistan_rebellion_(July_1930),
1930,1932,Sino-Tibetan War,Republic of China,Tibet,,https://en.wikipedia.org/wiki/Sino-Tibetan_War,
1930,1930,Revolution of 1930,"Liberal Alliance and
tenentistas.
Brazilian Army",First Brazilian Republic,,https://en.wikipedia.org/wiki/Revolution_of_1930,
1930,1930,Khorinskoe uprising,Soviet Union,Rebels,,https://en.wikipedia.org/wiki/Khorinskoe_uprising?action=edit&redlink=1,
1930,1930,Musha Incident,"Empire of Japan
Toda
Truku[91] (Taroko)",Tkdaya[91],,https://en.wikipedia.org/wiki/Musha_Incident,
