Started,Ended,Name of conflict,Belligerents,,Part of,War link,Wider conflict link
1953,1953,"East German uprising of
1953
","East Germany
Soviet Union","Anti-Stalinist
demonstrators",Cold War,https://en.wikipedia.org/wiki/East_German_uprising_of_1953,https://en.wikipedia.org/wiki/East_German_uprising_of_1953
1953,1959,Cuban Revolution,"26th of July Movement
Revolutionary Directorate
of March 13th
Second National Front of
Escambray","Cuba
Cuban Constitutional
Army",,https://en.wikipedia.org/wiki/Cuban_Revolution,
1953,1953,"1953 Iranian coup d'état
","House of Pahlavi
supporters
United States[l]
United Kingdom[l]","Iranian Government
supporters","Abadan Crisis and
the Cold War",https://en.wikipedia.org/wiki/1953_Iranian_coup_d'%C3%A9tat,https://en.wikipedia.org/wiki/Abadan_Crisis
1954,1954,1954 Paraguayan coup d'état,"Paraguayan Army
Colorado Party","Government of
Paraguay",,https://en.wikipedia.org/wiki/1954_Paraguayan_coup_d'%C3%A9tat,
1954,1954,Kengir uprising,"Soviet Army
MVD
Gulag authorities",Kengir resistance,,https://en.wikipedia.org/wiki/Kengir_uprising,
1954,1954,"Annexation of Dadra and
Nagar Haveli
","Indian nationalists
and communists
United Front of Goans
National Liberation
Movement Organization
Goan People's Party
Communist Party of
India
Azad Gomantak Dal
Rashtriya
Swayamsevak Sangh[33]
Supported by:
India","Portugal
Portuguese India","decolonisation of
Asia and the Cold War",https://en.wikipedia.org/wiki/Annexation_of_Dadra_and_Nagar_Haveli,https://en.wikipedia.org/wiki/Annexation_of_Dadra_and_Nagar_Haveli
1954,1955,"First Taiwan Strait Crisis
","People's Republic of
China","Republic of China
United States","Cold War and the
aftermath of the Chinese
Civil War",https://en.wikipedia.org/wiki/First_Taiwan_Strait_Crisis,https://en.wikipedia.org/wiki/Cold_War
1954,1959,"Jebel Akhdar War
","Sultanate of Muscat
United Kingdom","Imamate of Oman
Supported by:
Republic of Egypt
Saudi Arabia","decolonisation of
Asia and the Arab Cold War",https://en.wikipedia.org/wiki/Jebel_Akhdar_War,https://en.wikipedia.org/wiki/Decolonisation_of_Asia
,,,,,,,
1954,1962,"Algerian War
","FLN
MNA
PCA","French Fourth Republic
(1954–1958)
French Fifth Republic
(1958–1962)
La Main Rouge
MPC
ANPA
FAF
(1960–61)
OAS
(1961–62)","Cold War and the
decolonisation of Africa",https://en.wikipedia.org/wiki/Algerian_War,https://en.wikipedia.org/wiki/Cold_War
