Start,End,Name of Conflict,Victors,Defeated,Part of,War link,Wider conflict link,Wikipedia pageviews (2025 - 2026)
1497,1497,Warbeck\nRebellion,Kingdom of England,English rebels,,https://en.wikipedia.org/wiki/Perkin_Warbeck,https://en.wikipedia.org/wiki/Perkin_Warbeck,286871.0
1482,1492,Granada War,Union of the Crown of\nCastile and Crown of Aragon,Emirate of Granada,,https://en.wikipedia.org/wiki/Granada_War,,272233.0
1215,1217,First Barons' War,Kingdom of England,Rebel Barons\nKingdom of France,,https://en.wikipedia.org/wiki/First_Barons'_War,,236657.0
1402,1402,Battle of Ankara,Timurid Empire,Ottoman Empire\nLordship of Sati and Dagnum\nJonima Estate\nPrincipality of Dukagjini\nDespotate of Serbia\nWallachian contingents,,https://en.wikipedia.org/wiki/Battle_of_Ankara,,229461.0
1180,1185,Genpei War,Minamoto clan (Yoritomo),Taira clan,,https://en.wikipedia.org/wiki/Genpei_War,,223852.0
1380,1380,Battle of Kulikovo,Principality of Moscow\nPrincipality of Beloozero\nPrincipality of Rostov\nPrincipality of\nYaroslavl\nPrincipality of Suzdal\n—Nizhny Novgorod\nPrincipality of Murom,Golden Horde,,https://en.wikipedia.org/wiki/Battle_of_Kulikovo,,201497.0
1228,1229,Sixth Crusade\n,Holy Roman Empire\nTeutonic Knights,Kingdom of Cyprus\nHouse of Ibelin\nAyyubid Dynasty,Crusades,https://en.wikipedia.org/wiki/Sixth_Crusade,,186073.0
1456,1456,Siege of\nBelgrade (1456),Kingdom of Hungary\nSerbs\nEuropean Crusaders,Ottoman Empire,,https://en.wikipedia.org/wiki/Siege_of_Belgrade_(1456),https://en.wikipedia.org/wiki/Siege_of_Belgrade_(1456),182028.0
1248,1254,Seventh Crusade\n,Ayyubid Dynasty\nBahris,Kingdom of France\nKnights Templar,Crusades,https://en.wikipedia.org/wiki/Seventh_Crusade,,177311.0
1217,1221,Fifth Crusade\n,Ayyubid Dynasty,Latin Empire of Constantinople\nKingdom of Cyprus\nSultanate of Rûm\nHoly Roman Empire\nArchduchy of Austria\nKnights Templar\nTeutonic Order\nKnights Hospitaller\nKingdom of Hungary\nCounty of Holland\nKingdom of France\nPapal States,Crusades,https://en.wikipedia.org/wiki/Fifth_Crusade,,173377.0
1486,1487,Simmel\nRebellion,Kingdom of England,English rebels,,https://en.wikipedia.org/wiki/Lambert_Simnel,https://en.wikipedia.org/wiki/Lambert_Simnel,165949.0
1402,1413,Ottoman\nInterregnum,Faction of Mehmed I,Faction of İsa Çelebi\nFaction of Musa Çelebi\nFaction of Süleyman Çelebi\nFaction of Mustafa Çelebi,,https://en.wikipedia.org/wiki/Ottoman_Interregnum,https://en.wikipedia.org/wiki/Ottoman_Interregnum,161732.0
1121,1121,Battle of Didgori,Kingdom of Georgia,Seljuk Empire\nArtuqids\nBeylik of Dilmaç\nBanu Mazyad\nShaddadids\nEmirate of Tbilisi\nSultanate of Rum,,https://en.wikipedia.org/wiki/Battle_of_Didgori,,149606.0
1467,1477,Ōnin War\nPart of the\nSengoku Period,Hosokawa clan\nHatakeyama Masanaga,Yamana clan\nŌuchi clan\nHatakeyama Yoshinari,,https://en.wikipedia.org/wiki/%C5%8Cnin_War,https://en.wikipedia.org/wiki/Sengoku_Period,149343.0
1014,1014,Battle of Clontarf,High King of Ireland,Leinster\nDublin\nVikings of Orkney and\nMan,,https://en.wikipedia.org/wiki/Battle_of_Clontarf,,147987.0
1270,1270,Eighth Crusade\n,Hafsids,Kingdom of France\nKingdom of Sicily\nKingdom of Navarre,Crusades,https://en.wikipedia.org/wiki/Eighth_Crusade,,144040.0
1421,1522,2nd Conquest\nof Anatolia,Ottoman Empire,Beylik of Karaman\nBeylik of Isfendiyar\nBeylik of Aydin\nEmpire of Trebizond\nSultanate of Eretna\nBeylik of Teke\nByzantine Empire\nBeyliks of Canik\nBeylik of Germiyan\nBeylik of Menteşe\nBeylik of Saruhan,,https://en.wikipedia.org/wiki/Rise_of_the_Ottoman_Empire,https://en.wikipedia.org/wiki/Rise_of_the_Ottoman_Empire,132791.0
1264,1267,Second Barons' War,Pro-Monarchy Forces,Anti-Monarchy Barons,,https://en.wikipedia.org/wiki/Second_Barons'_War,,129763.0
1775,1783,American\nRevolutionary War,United States\nFrance (1778–83)\nSpain (1779–83)\nDutch Republic (1780–83)\nCo-belligerents\nVermont (1777–83)\nOneida\nTuscarora\nWatauga Association\nCatawba\nLenape,Great Britain\nLoyalists\nGerman auxiliaries\nCo-belligerents\nIroquois Confederacy\nOnondaga\nMohawk\nCayuga\nSeneca\nCherokee,,https://en.wikipedia.org/wiki/American_Revolutionary_War,https://en.wikipedia.org/wiki/American_Revolutionary_War,3975924.0
1789,1789,French Revolution,Jacobins\nGirondins\nSans-Culottes,Monarchists\nModerate Revolutionaries\nRealists,,https://en.wikipedia.org/wiki/French_Revolution,,3891609.0
1618,1648,Thirty Years' War,Protestant States and\nAllies\nDenmark-Norway\n(1625–1629)\nFrance (from 1635)\nBohemia (1618–\n1620)\nSweden\nSaxony\nDutch Republic\nElectorate of the\nPalatinate\nBrunswick-Lüneburg\nEngland (1625–\n30)[9]\nBrandenburg-\nPrussia\nTransylvania\nHungarian Anti-\nHabsburg Rebels[10]\nZaporozhian\nCossacks\nOttoman Empire,Roman Catholic States and\nAllies\nHoly Roman\nEmpire[11]\nCatholic League\nAustria\nBohemia (after 1620)\nKingdom of\nHungary[12]\nKingdom of\nCroatia[13]\nSpain and its\npossessions\nDenmark-Norway\n(1643–1645)[14],,https://en.wikipedia.org/wiki/Thirty_Years'_War,,2121415.0
1756,1763,Seven Years' War,Great Britain\nHanover\nPrussia\nBrunswick-Wolfenbüttel\nIroquois Confederacy,France\nAustria\nRussia (until 1762)\nSpain (from 1761)\nSweden (1757–62),,https://en.wikipedia.org/wiki/Seven_Years'_War,,1943021.0
1754,1763,French and Indian War\n,Great Britain\nBritish America\nIroquois Confederacy\nWyandot\nCatawba\nCherokee (before\n1758))\nMingos (briefly),France\nNew France\nWabanaki Confederacy\nAbenaki\nAlgonquin\nCaughnawaga Mohawk\nFaction\nLenape\nMiꞌkmaq\nOjibwa\nOdawa\nShawnee,Seven\nYears' War,https://en.wikipedia.org/wiki/French_and_Indian_War,,1315609.0
1701,1714,War of the Spanish\nSuccession,Kingdom of France\nSpain loyal to Philip\nBavaria (until 1704),Holy Roman Empire:\nAustria\nPrussia\nHanover\nEngland (until 1707)\nGreat Britain (from 1707) [17]\nDutch Republic\nDuchy of Savoy\nKingdom of Portugal\nSpain loyal to Charles,,https://en.wikipedia.org/wiki/War_of_the_Spanish_Succession,https://en.wikipedia.org/wiki/War_of_the_Spanish_Succession,990803.0
1791,1804,Haitian Revolution,Haiti\nGreat Britain\nSpain (1793–1795)\nFrench royalists,France\nPolish Legions,,https://en.wikipedia.org/wiki/Haitian_Revolution,,941954.0
