Start,Finish,Name of conflict,Belligerents,Defeated,Part of,War link,Wider conflict link,Wikipedia pageviews (2025 - 2026)
Start,Finish,Name of Conflict,Belligerents,,,,,
,,,Victorious party (if\napplicable),Defeated party (if applicable),,,,
1201,1201,Kennin Rebellion,Kamakura shogunate,Jo clan,,https://en.wikipedia.org/wiki/Kennin_Rebellion,,7443.0
1201,1219,War of the Antiochene\nSuccession,Forces of Bohemond IV of\nAntioch\nKnights Templar\nAyyubid Emirate of Aleppo\nKingdom of Jerusalem\nSultanate of Rum,Forces of Raymond-Roupen of\nAntioch\nKingdom of Cilicia\nKnights Hospitaller,,https://en.wikipedia.org/wiki/War_of_the_Antiochene_Succession,https://en.wikipedia.org/wiki/War_of_the_Antiochene_Succession,18486.0
1202,1204,Fourth Crusade\n,Holy Roman Empire\nRepublic of Venice\nMonferrat,Byzantine Empire,Crusades,https://en.wikipedia.org/wiki/Fourth_Crusade,https://en.wikipedia.org/wiki/Crusades,586877.0
1204,1206,Intervention in Chaldia,Kingdom of Georgia,Empire of Trebizond,,,,
1202,1204,Anglo-Norman War,Kingdom of France\nDuchy of Brittany\nHouse of Lusignan,Kingdom of England,,https://en.wikipedia.org/wiki/Invasion_of_Normandy_by_Philip_II_of_France_(1202%E2%80%931204),,5439.0
1203,1206,Loon War,Holland\nKingdom of England\nHouse of Welf,Loon\nFrance\nStaufen\nFlanders\nLimburg\nBrabant\nUtrecht\nLiège,,https://en.wikipedia.org/wiki/Loon_War,,5260.0
1204,1261,Bulgarian–Latin wars,Bulgarian Empire,Latin Empire,,https://en.wikipedia.org/wiki/Bulgarian%E2%80%93Latin_wars,,15005.0
1205,1245,War of the Galician\nSuccession,,Árpád dynasty\nOlgovichi\nPiast dynasty,,https://en.wikipedia.org/wiki/War_of_the_Galician_Succession_(1205%E2%80%931245),https://en.wikipedia.org/wiki/War_of_the_Galician_Succession_(1205%E2%80%931245),14040.0
1206,1368,Mongol invasions and\nconquests,Mongol Empire,Western Xia\nJin dynasty\nManchuria\nDali Kingdom\nKhwarizmian Empire\nKara-Khitan Khanate\nSong dynasty\nKievan Rus'\nVolga Bulgaria\nByzantine Empire\nKingdom of Poland\nKingdom of Hungary\nKingdom of Croatia\nKingdom of Serbia\nBulgarian Empire\nSultanate of Rûm\nEmpire of Trebizond\nCrusader states\nSukhothai Kingdom\nMamluk Sultanate\nAbbasid Caliphate\nGoryeo\nPagan Kingdom,,https://en.wikipedia.org/wiki/Mongol_invasions_and_conquests,https://en.wikipedia.org/wiki/Mongol_invasions_and_conquests,408413.0
,,,,Chăm Pa\nSinghasari,,,,
